range,date,restaurant,menu_division,menu_content,etc_info
2022.07.25 ~ 2022.07.31,"2022.07.25
( 월 )",학생식당,-,-,-
2022.07.25 ~ 2022.07.31,"2022.07.25
( 월 )",교직원식당,점심,일식카레덮밥 우동장국 생선까스&칠리소스 양배추샐러드 배추김치 오렌지주스,-
2022.07.25 ~ 2022.07.31,"2022.07.26
( 화 )",학생식당,-,-,-
2022.07.25 ~ 2022.07.31,"2022.07.26
( 화 )",교직원식당,점심,잡곡밥 닭개장 오징어볶음&소면사리 볼어묵볶음 도토리묵*양념장 배추김치,-
2022.07.25 ~ 2022.07.31,"2022.07.27
( 수 )",학생식당,-,-,-
2022.07.25 ~ 2022.07.31,"2022.07.27
( 수 )",교직원식당,점심,잡곡밥 참치김치찌개 청양풍제육볶음 미역줄기볶음 콩나물무침 깍두기,-
2022.07.25 ~ 2022.07.31,"2022.07.28
( 목 )",학생식당,-,-,-
2022.07.25 ~ 2022.07.31,"2022.07.28
( 목 )",교직원식당,점심,잡곡밥 떡만두국 김치메밀전병 견과류멸치볶음 간장고추지 깍두기,-
2022.07.25 ~ 2022.07.31,"2022.07.29
( 금 )",학생식당,-,-,-
2022.07.25 ~ 2022.07.31,"2022.07.29
( 금 )",교직원식당,점심,쫄면한그릇*후리가케밥 어묵국 탕수육강정 단무지 배추김치 새우칩,-
2022.08.01 ~ 2022.08.07,"2022.08.01
( 월 )",학생식당,-,-,-
2022.08.01 ~ 2022.08.07,"2022.08.01
( 월 )",교직원식당,-,-,-
2022.08.01 ~ 2022.08.07,"2022.08.02
( 화 )",학생식당,-,-,-
2022.08.01 ~ 2022.08.07,"2022.08.02
( 화 )",교직원식당,-,-,-
2022.08.01 ~ 2022.08.07,"2022.08.03
( 수 )",학생식당,-,-,-
2022.08.01 ~ 2022.08.07,"2022.08.03
( 수 )",교직원식당,-,-,-
2022.08.01 ~ 2022.08.07,"2022.08.04
( 목 )",학생식당,-,-,-
2022.08.01 ~ 2022.08.07,"2022.08.04
( 목 )",교직원식당,-,-,-
2022.08.01 ~ 2022.08.07,"2022.08.05
( 금 )",학생식당,-,-,-
2022.08.01 ~ 2022.08.07,"2022.08.05
( 금 )",교직원식당,-,-,-
